word,type,translation
earthquake,n.,地震
right away,,立刻；马上
well,n.,井
crack,n. & vt. & vi.,裂缝；噼啪声；（使）开裂；破裂
smelly,adj.,发臭的；有臭味的
farmyard,n.,农场；农家
pipe,n.,管；导管
burst,vi. & n.,爆裂；爆发；突然破裂；爆发
million,n.,百万
event,n.,事件；大事
as if,,仿佛；好像
at an end,,结束；终结
nation,n.,民族；国家；国民
canal,n.,运河；水道
steam,n.,蒸汽；水汽
dirt,n.,污垢；泥土
ruin,n. & vt.,废墟；毁灭；毁灭；使破产
in ruins,,严重受损；破败不堪
suffering,n.,苦难；痛苦
extreme,adj.,极度的
injure,vt.,损害；伤害
survivor,n.,幸存者；生还者；残存物
destroy,vt.,破坏；毁坏；消灭
brick,n.,砖；砖块
dam,n.,水坝；堰堤
track,n.,轨道；足迹；痕迹
useless,adj.,无用的；无效的；无益的
shock,vt. & vi. & n.,（使）震惊；震动；休克；打击；震惊
rescue,n. & vt.,援救；营救
trap,vt. & n.,使陷入困境；陷阱；困境
electricity,n.,电；电流；电学
disaster,n.,灾难；灾祸
dig out,,掘出；发现
bury,vt.,埋葬；掩埋；隐藏
mine,n. ,矿；矿山；矿井
miner,n. ,矿工
shelter,n.,掩蔽；掩蔽处；避身处
a (great) number of,,许多；大量的
title,n.,标题；头衔；资格
reporter,n.,记者
bar,n.,条；棒；条状物
damage,n. & vt.,损失；损害
frighten,vt.,使惊吓；吓唬
frightened,adj.,受惊的；受恐吓的
frightening,adj.,令人恐惧的
congratulation,n.,祝贺；（复数）贺词
judge,n. & vt.,裁判员；法官；断定；判断；判决
sincerely,adv.,真诚地；真挚地
express,vt. & n.,表示；表达；快车；速递
outline,n.,要点；大纲；轮廓
headline,n.,报刊的大字标题
cyclist,n.,骑自行车的人
